name,lat,lon,street,city
Trạm Y tế xã Phú Cường,21.28888485516908,105.40181368257062,,
Bệnh viện Đa khoa Quốc tế Vinmec Times City,20.995999942213903,105.86672693749408,Phố Minh Khai,
Bệnh viện Đại học Y Hà Nội - Cơ sở Hoàng Mai,20.97860539790609,105.86904027058252,Ngõ 587 Tam Trinh,Hà Nội
Viện Y học dự phòng Quân đội,21.012119784497404,105.82175261547316,Phố Trung Liệt,Hà Nội
,20.84681964332267,105.84903727802852,,
Nhà hộ sinh Đống Đa,21.016952445219616,105.83326828214088,,
Trạm Y tế phường Dịch Vọng,21.033252833826133,105.79347498881393,Phố Dịch Vọng,
Bệnh viện Nhi Hà Nội,20.9620297739497,105.74404944463076,Phố Nguyễn Trác,Hà Nội
Bệnh viện Mắt Hà Nội (Cơ sở Hà Đông),20.97161123677404,105.77300327135538,Phố Nguyễn Viết Xuân,
Bệnh viện Đại Học Phenikaa,21.038648658020936,105.75178067218556,Phố Kiều Mai,
Bệnh viện Bưu điện,20.99046336184245,105.83133261945322,Phố Trần Điền,
Bệnh viện Than - Khoáng sản,20.988644905467748,105.83936275283908,Ngõ 1 Phan Đình Giót,
area 09,21.002359923698748,105.94354329005348,,
Bệnh viện Phụ sản Hà Nội (cơ sở 2),21.011083751472363,105.86029417086128,Phố Cảm Hội,
Bệnh viện Phụ sản Hà Nội (cơ sở 3),20.972168685403645,105.77656425935018,Đường Quang Trung,
Trạm y tế Mễ Trì,21.01179537969158,105.77579291642682,,
Bệnh viện Đa khoa Tràng An,21.02568114487685,105.83533828418442,Ngõ Thông Phong,
Trạm Y tế phường Yên Nghĩa,20.95449120753324,105.73760912463092,Ngách 234/22 Đường Quyết Thắng,
